what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337829653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337831504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337855030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318337858023
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318337861005
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318337861481
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318337871589
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1318337879223
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1318337879877
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1318337880485
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1318337880555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318337881888
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318337886906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337887804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337888218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318337895324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337918609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337926683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337927697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318337929753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318337948598
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1318337959612
